md	inc	azi	tvd	ew	ns	v.sec	dls	build	turn
m	deg	deg	m	m	m	m	deg/30m	deg/30m	deg/30m
0	0	96,154	0	-3,4	0,11	3,4018	0	0	0
30	0	96,154	30	-3,4	0,11	3,4018	0	0	0
60	0	96,154	60	-3,4	0,11	3,4018	0	0	0
90	0	96,154	90	-3,4	0,11	3,4018	0	0	0
120	0	96,154	120	-3,4	0,11	3,4018	0	0	0
150	0	96,154	150	-3,4	0,11	3,4018	0	0	0
180	0	96,154	180	-3,4	0,11	3,4018	0	0	0
210	0	96,154	210	-3,4	0,11	3,4018	0	0	0
240	0	96,154	240	-3,4	0,11	3,4018	0	0	0
270	0	96,154	270	-3,4	0,11	3,4018	0	0	0
300	0	96,154	300	-3,4	0,11	3,4018	0	0	0
330	0	96,154	330	-3,4	0,11	3,4018	0	0	0
360	0	96,154	360	-3,4	0,11	3,4018	0	0	0
390	0	96,154	390	-3,4	0,11	3,4018	0	0	0
400	0	96,154	400	-3,4	0,11	3,4018	0	0	0
420	1,3333	96,154	419,9982	-3,1686	0,0851	3,1698	2	2	0
450	3,3333	96,154	449,9718	-1,9543	-0,0459	1,9549	2	2	0
480	5,3333	96,154	479,8845	0,2992	-0,2889	0,4159	2	2	0
510	7,3333	96,154	509,6999	3,5894	-0,6436	3,6466	2	2	0
540	9,3333	96,154	539,3817	7,9121	-1,1097	7,9895	2	2	0
570	11,3333	96,154	568,8936	13,262	-1,6865	13,3688	2	2	0
570,472	11,3648	96,154	569,3564	13,3544	-1,6965	13,4617	2	2	0
600	21,2075	96,154	597,6647	21,5772	-2,5831	21,7313	10	10	0
626,3776	30	96,154	621,4288	32,8993	-3,8039	33,1185	10	10	0
630	29,9254	96,6139	624,567	34,6972	-4,005	34,9276	2	-0,6178	3,8087
660	29,3704	100,4989	650,6418	49,3656	-6,2077	49,7544	2	-0,5551	3,885
690	28,9316	104,5054	676,8445	63,6259	-9,3661	64,3116	2	-0,4388	4,0065
720	28,6145	108,6087	703,143	77,4606	-13,4764	78,6241	2	-0,3171	4,1032
750	28,4231	112,7791	729,5055	90,8529	-18,5336	92,724	2	-0,1913	4,1705
780	28,3601	116,9839	755,8997	103,7865	-24,5315	106,6463	2	-0,063	4,2048
810	28,4262	121,1883	782,2936	116,2457	-31,4628	120,4283	2	0,0662	4,2044
840	28,6207	125,3575	808,6548	128,2152	-39,3192	134,1087	2	0,1944	4,1692
870	28,9408	129,4587	834,9515	139,6805	-48,0909	147,7274	2	0,3201	4,1012
900	29,3825	133,4625	861,1514	150,6276	-57,7674	161,3249	2	0,4417	4,0038
930	29,9403	137,3443	887,2227	161,0431	-68,3368	174,9423	2	0,5578	3,8818
960	30,6078	141,0847	913,1336	170,9145	-79,7862	188,6203	2	0,6675	3,7404
990	31,3781	144,6698	938,8525	180,2296	-92,1018	202,3992	2	0,7702	3,5851
1020	32,2436	148,091	964,3482	188,9771	-105,2685	216,3187	2	0,8655	3,4212
1050	33,1968	151,3444	989,5895	197,1463	-119,2702	230,4171	2	0,9532	3,2534
1080	34,2303	154,4298	1014,5457	204,7274	-134,0899	244,7313	2	1,0336	3,0855
1110	35,3371	157,3505	1039,1864	211,711	-149,7096	259,2962	2	1,1068	2,9206
1140	36,5103	160,1117	1063,4816	218,0886	-166,1102	274,1446	2	1,1732	2,7612
1170	37,7437	162,7206	1087,4016	223,8526	-183,2717	289,3069	2	1,2334	2,6089
1200	39,0314	165,1853	1110,9173	228,9957	-201,1733	304,811	2	1,2877	2,4647
1230	40,3682	167,5146	1134,0002	233,5119	-219,7931	320,6818	2	1,3368	2,3293
1260	41,7491	169,7175	1156,6219	237,3956	-239,1084	336,9413	2	1,381	2,2029
1290	43,17	171,8029	1178,7551	240,642	-259,0957	353,6087	2	1,4208	2,0854
1320	44,6267	173,7796	1200,3727	243,2472	-279,7306	370,6999	2	1,4567	1,9767
1350	46,1158	175,6559	1221,4484	245,208	-300,9881	388,2278	2	1,4891	1,8763
1380	47,634	177,4399	1241,9565	246,5221	-322,8421	406,2022	2	1,5183	1,7839
1410	49,1787	179,1389	1261,872	247,1878	-345,2662	424,6299	2	1,5446	1,699
