Position(m)	Deflection(m)
0	2.08557e-11
0.005	0.000403467
0.01	0.000622629
0.015	0.00070356
0.02	0.000692336
0.025	0.000635034
0.03	0.000577729
0.035	0.000566498
0.04	0.000647415
0.045	0.000866557
0.05	0.00127
0.055	0.00163789
0.06	0.00176054
0.065	0.00169925
0.07	0.00151533
0.075	0.0012701
0.08	0.00102485
0.085	0.000840915
0.09	0.000779586
0.095	0.000902178
0.1	0.00127
0.105	0.00163784
0.11	0.00176048
0.115	0.00169922
0.12	0.00151534
0.125	0.00127016
0.13	0.00102497
0.135	0.000841055
0.14	0.000779725
0.145	0.000902275
0.15	0.00127
0.155	0.00163775
0.16	0.00176037
0.165	0.00169914
0.17	0.00151533
0.175	0.00127023
0.18	0.0010251
0.185	0.00084124
0.19	0.000779916
0.195	0.00090241
0.2	0.00127
0.205	0.00163763
0.21	0.00176022
0.215	0.00169902
0.22	0.0015153
0.225	0.00127029
0.23	0.00102527
0.235	0.000841472
0.24	0.000780159
0.245	0.000902584
0.25	0.00127
0.255	0.00163746
0.26	0.00176001
0.265	0.00169886
0.27	0.00151524
0.275	0.00127037
0.28	0.00102546
0.285	0.000841754
0.29	0.000780459
0.295	0.0009028
0.3	0.00127
0.305	0.00163726
0.31	0.00175975
0.315	0.00169865
0.32	0.00151516
0.325	0.00127044
0.33	0.00102569
0.335	0.000842091
0.34	0.000780819
0.345	0.000903061
0.35	0.00127
0.355	0.00260128
0.36	0.00534102
0.365	0.00913708
0.37	0.0136373
0.375	0.0184897
0.38	0.023342
0.385	0.0278422
0.39	0.031638
0.395	0.0343774
0.4	0.0357083
0.405	0.0361108
0.41	0.0363302
0.415	0.036412
0.42	0.036402
0.425	0.0363458
0.43	0.0362889
0.435	0.0362772
0.44	0.036356
0.445	0.0365713
0.45	0.0369684
0.455	0.0373655
0.46	0.0375802
0.465	0.037658
0.47	0.0376443
0.475	0.0375845
0.48	0.0375241
0.485	0.0375084
0.49	0.0375829
0.495	0.037793
0.5	0.0381842
0.505	0.0385751
0.51	0.0387847
0.515	0.038858
0.52	0.0388403
0.525	0.0387767
0.53	0.0387123
0.535	0.0386925
0.54	0.0387622
0.545	0.0389668
0.55	0.0393513
0.555	0.0397357
0.56	0.0399397
0.565	0.0400083
0.57	0.0399862
0.575	0.0399185
0.58	0.03985
0.585	0.0398256
0.59	0.0398903
0.595	0.040089
0.6	0.0404665
0.605	0.0408439
0.61	0.0410421
0.615	0.0411056
0.62	0.041079
0.625	0.041007
0.63	0.0409342
0.635	0.0409052
