Position(m)	Bending_Moment(Nm)
0	4.03123e+06
0.1	4.03088e+06
0.2	4.02983e+06
0.3	4.02807e+06
0.4	329886
0.5	326741
0.6	322901
0.7	318368
0.8	313141
0.9	307222
1	300612
1.1	293310
1.2	285317
1.3	276634
1.4	267262
1.5	257202
1.6	246453
1.7	235016
1.8	222893
1.9	210083
2	196587
2.1	182407
2.2	167542
2.3	151993
2.4	135761
2.5	118846
2.6	101249
2.7	82971
2.8	64012
2.9	44372.8
3	24054
3.1	3056.32
3.2	-18619.7
3.3	-40973.5
3.4	-64004.4
3.5	-87711.8
3.6	-112095
3.7	-137154
3.8	-162887
3.9	-189294
4	-216375
4.1	-244128
4.2	-272554
4.3	-301651
4.4	-331419
4.5	-361858
4.6	-392966
4.7	-424744
4.8	-457190
4.9	-490304
5	-524085
5.1	-558533
5.2	-593647
5.3	-629426
5.4	-1.4297e+06
5.5	-1.46649e+06
5.6	-1.50331e+06
5.7	-1.54016e+06
5.8	-1.57703e+06
5.9	-1.61392e+06
6	-1.65085e+06
6.1	-1.68779e+06
6.2	-1.72476e+06
6.3	-1.76175e+06
6.4	-1.79876e+06
6.5	-1.83579e+06
6.6	-1.87285e+06
6.7	-1.90992e+06
6.8	-1.94701e+06
6.9	-1.98411e+06
7	-2.02124e+06
7.1	-2.05838e+06
7.2	-2.09553e+06
7.3	-2.1327e+06
7.4	-2.16989e+06
7.5	-2.20708e+06
7.6	-2.24429e+06
7.7	-2.28151e+06
7.8	-2.31874e+06
7.9	-2.35598e+06
8	-2.39323e+06
8.1	-2.43049e+06
8.2	-2.46775e+06
8.3	-2.50502e+06
8.4	-2.5423e+06
8.5	-2.57958e+06
8.6	-2.61686e+06
8.7	-2.65415e+06
8.8	-2.69145e+06
8.9	-2.72874e+06
9	-2.76603e+06
9.1	-2.80333e+06
9.2	-2.84062e+06
9.3	-2.87792e+06
9.4	-2.91521e+06
9.5	-2.9525e+06
9.6	-2.98978e+06
9.7	-3.02706e+06
9.8	-3.06434e+06
9.9	-3.10161e+06
10	-3.13887e+06
10.1	-3.17613e+06
10.2	-3.21337e+06
10.3	-3.25061e+06
10.4	-3.28784e+06
10.5	-3.32506e+06
10.6	-3.36226e+06
10.7	-3.39945e+06
10.8	-3.43664e+06
10.9	-3.4738e+06
11	-3.51095e+06
11.1	-3.54809e+06
11.2	-3.58521e+06
11.3	-3.62232e+06
11.4	-3.6594e+06
11.5	-3.69647e+06
11.6	-3.73352e+06
11.7	-3.77055e+06
11.8	-3.80755e+06
11.9	-3.84454e+06
12	-3.8815e+06
12.1	-3.91844e+06
12.2	-3.95536e+06
12.3	-3.99225e+06
12.4	-4.02912e+06
12.5	-4.06596e+06
12.6	-4.10277e+06
12.7	-4.13955e+06
12.8	-4.17631e+06
12.9	-4.21304e+06
13	-4.24973e+06
13.1	-4.2864e+06
13.2	-4.32303e+06
13.3	-4.35963e+06
13.4	-4.3962e+06
13.5	-4.43273e+06
13.6	-4.46923e+06
13.7	-4.5057e+06
13.8	-4.54212e+06
13.9	-4.57851e+06
14	-4.61486e+06
14.1	-4.65117e+06
14.2	-4.68745e+06
14.3	-4.72368e+06
14.4	-4.75987e+06
14.5	-4.79602e+06
14.6	-4.83212e+06
14.7	-4.86819e+06
14.8	-4.9042e+06
14.9	-4.94018e+06
15	-4.9761e+06
15.1	-5.01199e+06
15.2	-5.04782e+06
15.3	-5.0836e+06
15.4	-5.11934e+06
15.5	-5.15502e+06
15.6	-5.19066e+06
15.7	-5.22624e+06
15.8	-5.26178e+06
15.9	-5.29725e+06
16	-5.33268e+06
16.1	-5.36805e+06
16.2	-5.40337e+06
16.3	-5.43862e+06
16.4	-5.47383e+06
16.5	-5.50897e+06
16.6	-5.54406e+06
16.7	-5.57909e+06
16.8	-5.61405e+06
16.9	-5.64896e+06
17	-5.6838e+06
17.1	-5.71859e+06
17.2	-5.75331e+06
17.3	-5.78796e+06
17.4	-1.28457e+07
17.5	-1.28802e+07
17.6	-1.29146e+07
17.7	-1.2949e+07
17.8	-1.29833e+07
17.9	-1.30176e+07
18	-1.30518e+07
18.1	-1.30859e+07
18.2	-1.31199e+07
18.3	-1.31539e+07
18.4	-1.31878e+07
18.5	-1.32216e+07
18.6	-1.32553e+07
18.7	-1.3289e+07
18.8	-1.33225e+07
18.9	-1.3356e+07
19	-1.33895e+07
19.1	-1.34228e+07
19.2	-1.3456e+07
19.3	-1.34892e+07
19.4	-1.35223e+07
19.5	-1.35552e+07
19.6	-1.35881e+07
19.7	-1.36209e+07
19.8	-1.36537e+07
19.9	-1.36863e+07
20	-1.37188e+07
20.1	-1.37513e+07
20.2	-1.37836e+07
20.3	-1.38158e+07
20.4	-1.3848e+07
20.5	-1.388e+07
20.6	-1.3912e+07
20.7	-1.39439e+07
20.8	-1.39756e+07
20.9	-1.40072e+07
21	-1.40388e+07
21.1	-1.40702e+07
21.2	-1.41016e+07
21.3	-1.41328e+07
21.4	-1.41639e+07
21.5	-1.41949e+07
21.6	-1.42258e+07
21.7	-1.42566e+07
21.8	-1.42873e+07
21.9	-1.43178e+07
22	-1.43483e+07
22.1	-1.43786e+07
22.2	-1.44088e+07
22.3	-1.44389e+07
22.4	-1.44689e+07
22.5	-1.44987e+07
22.6	-1.45285e+07
22.7	-1.45581e+07
22.8	-1.45876e+07
22.9	-1.46169e+07
23	-1.46462e+07
23.1	-1.46753e+07
23.2	-1.47042e+07
23.3	-1.47331e+07
23.4	-1.47618e+07
23.5	-1.47904e+07
23.6	-1.48189e+07
23.7	-1.48472e+07
23.8	-1.48754e+07
23.9	-1.49034e+07
24	-1.49313e+07
24.1	-1.49591e+07
24.2	-1.49868e+07
24.3	-1.50143e+07
24.4	-1.50416e+07
24.5	-1.50688e+07
24.6	-1.50959e+07
