Position(m)	Shear_Force(N)
0	132923
0.1	132488
0.2	132053
0.3	131617
0.4	131341
0.5	131225
0.6	131109
0.7	130993
0.8	130877
0.9	130761
1	130645
1.1	130529
1.2	130413
1.3	130297
1.4	130181
1.5	130065
1.6	129949
1.7	129833
1.8	129717
1.9	129600
2	129484
2.1	129368
2.2	129252
2.3	129136
2.4	129020
2.5	128904
2.6	128788
2.7	128672
2.8	128556
2.9	128440
3	128324
3.1	128208
3.2	128092
3.3	127976
3.4	127859
3.5	127743
3.6	127627
3.7	127511
3.8	127395
3.9	127279
4	127163
4.1	127047
4.2	126931
4.3	126815
4.4	126699
4.5	126583
4.6	126467
4.7	126351
4.8	126235
4.9	126118
5	126002
5.1	125886
5.2	125770
5.3	125654
5.4	5315.96
5.5	5167.86
5.6	5019.77
5.7	4871.68
5.8	4723.59
5.9	4575.49
6	4427.4
6.1	4279.31
6.2	4131.22
6.3	3983.12
6.4	3835.03
6.5	3686.94
6.6	3538.84
6.7	3390.75
6.8	3242.66
6.9	3094.57
7	2946.47
7.1	2798.38
7.2	2650.29
7.3	2502.2
7.4	2354.1
7.5	2206.01
7.6	2057.92
7.7	1909.83
7.8	1761.73
7.9	1613.64
8	1465.55
8.1	1317.45
8.2	1169.36
8.3	1021.27
8.4	873.177
8.5	725.084
8.6	576.991
8.7	428.899
8.8	280.806
8.9	132.713
9	-15.3791
9.1	-163.472
9.2	-311.564
9.3	-459.657
9.4	-607.75
9.5	-755.842
9.6	-903.935
9.7	-1052.03
9.8	-1200.12
9.9	-1348.21
10	-1496.31
10.1	-1644.4
10.2	-1792.49
10.3	-1940.58
10.4	-2088.68
10.5	-2236.77
10.6	-2384.86
10.7	-2532.95
10.8	-2681.05
10.9	-2829.14
11	-2977.23
11.1	-3125.32
11.2	-3273.42
11.3	-3421.51
11.4	-3569.6
11.5	-3717.7
11.6	-3865.79
11.7	-4013.88
11.8	-4161.97
11.9	-4310.07
12	-4458.16
12.1	-4606.25
12.2	-4754.34
12.3	-4902.44
12.4	-5050.53
12.5	-5198.62
12.6	-5346.72
12.7	-5494.81
12.8	-5642.9
12.9	-5790.99
13	-5939.09
13.1	-6087.18
13.2	-6235.27
13.3	-6383.36
13.4	-6531.46
13.5	-6679.55
13.6	-6827.64
13.7	-6975.73
13.8	-7123.83
13.9	-7271.92
14	-7420.01
14.1	-7568.1
14.2	-7716.2
14.3	-7864.29
14.4	-8012.38
14.5	-8160.48
14.6	-8308.57
14.7	-8456.66
14.8	-8604.75
14.9	-8752.85
15	-8900.94
15.1	-9049.03
15.2	-9197.12
15.3	-9345.22
15.4	-9493.31
15.5	-9641.4
15.6	-9789.49
15.7	-9937.59
15.8	-10085.7
15.9	-10233.8
16	-10381.9
16.1	-10530
16.2	-10678.1
16.3	-10826.1
16.4	-10974.2
16.5	-11122.3
16.6	-11270.4
16.7	-11418.5
