Position(m)	Slope(deg)
0	-1.6884
0.1	1.29377
0.2	0.271965
0.3	-1.78658
0.4	0.418422
0.5	-10.8238
0.6	-3.19224
0.7	12.3188
0.8	-9.48093
0.9	-2.76114
1	12.269
1.1	-9.6433
1.2	-2.51958
1.3	12.1906
1.4	-9.8052
1.5	-2.27749
1.6	12.1078
1.7	-9.96353
1.8	-2.03456
1.9	12.0205
2	-10.1182
2.1	-1.7909
2.2	11.9288
2.3	-10.2692
2.4	-1.54658
2.5	11.8328
2.6	-10.4165
2.7	-1.30169
2.8	11.7325
2.9	-10.5599
3	-1.05634
3.1	11.6279
3.2	-10.6996
3.3	-0.810592
3.4	11.5191
3.5	-10.8353
3.6	-0.564552
3.7	11.406
3.8	-10.967
3.9	-0.318307
4	11.2888
4.1	-11.0948
4.2	-0.0719451
4.3	11.1675
4.4	-11.2185
4.5	0.174443
4.6	11.0421
4.7	-11.338
4.8	0.42111
4.9	10.9154
5	-11.4321
5.1	0.837109
5.2	12.1267
5.3	-0.896313
5.4	5.32554
5.5	0.573311
5.6	-3.58944
5.7	3.90491
5.8	-0.945522
5.9	-2.79518
6	4.21541
6.1	-2.13543
6.2	-1.71764
6.3	4.14451
6.4	-3.1301
6.5	-0.483319
6.6	3.69542
6.7	-3.83912
6.8	0.795107
6.9	2.90911
7	-4.19782
7.1	2.00098
7.2	1.85733
7.3	-4.17344
7.4	3.02425
7.5	0.636056
7.6	-3.76823
7.7	3.77155
7.8	-0.643256
7.9	-3.01915
8	4.17468
8.1	-1.86387
8.2	-1.99455
8.3	4.19685
8.4	-2.9144
8.5	-0.787952
8.6	3.83604
8.7	-3.69897
8.8	0.490554
8.9	3.12519
9	-4.14601
9.1	1.7243
9.2	2.12914
9.3	-4.2147
9.4	2.80069
9.5	0.938804
9.6	-3.89878
9.7	3.62151
9.8	-0.337203
9.9	-3.22709
10	4.11185
10.1	-1.58244
10.2	-2.26091
10.3	4.22697
10.4	-2.68327
10.5	-1.08841
10.6	3.95636
10.7	-3.53924
10.8	0.183405
10.9	3.32472
11	-4.07225
11.1	1.43849
11.2	2.38968
11.3	-4.23364
11.4	2.5623
11.5	1.23658
11.6	-4.0087
11.7	3.45229
11.8	-0.0293641
11.9	-3.41795
12	4.02725
12.1	-1.29263
12.2	-2.5153
12.3	4.23471
12.4	-2.43794
12.5	-1.38311
12.6	4.05573
12.7	-3.36078
12.8	-0.124715
12.9	3.50665
13	-3.97693
13.1	1.14506
13.2	2.63758
13.3	-4.23017
13.4	2.31035
13.5	1.52781
13.6	-4.09739
13.7	3.26481
13.8	0.27863
13.9	-3.59071
14	3.92134
14.1	-0.995979
14.2	-2.75637
14.3	4.22003
14.4	-2.1797
14.5	-1.67049
14.6	4.13363
14.7	-3.16452
14.8	-0.432176
14.9	3.67002
15	-3.86056
15.1	0.845577
15.2	2.87151
15.3	-4.20431
15.4	2.04617
15.5	1.81096
15.6	-4.1644
15.7	3.06004
15.8	0.585149
15.9	-3.74447
16	3.79467
16.1	-0.694056
16.2	-2.98285
16.3	4.18302
16.4	-1.90993
16.5	-1.94903
16.6	4.18965
16.7	-2.95151
16.8	-0.737351
16.9	3.81394
17	-3.724
17.1	0.539461
17.2	3.0717
17.3	-4.3157
17.4	0.398855
17.5	0.877278
17.6	-1.46959
17.7	0.943733
17.8	0.301472
17.9	-1.31692
18	1.32883
18.1	-0.328124
18.2	-0.922627
18.3	1.4703
18.4	-0.897555
18.5	-0.359163
18.6	1.34219
18.7	-1.30241
18.8	0.270156
18.9	0.967971
19	-1.46847
19.1	0.84994
19.2	0.416274
19.3	-1.36527
19.4	1.27388
19.5	-0.211749
19.6	-1.01175
19.7	1.46425
19.8	-0.800947
19.9	-0.47271
20	1.38614
20.1	-1.24329
20.2	0.152999
20.3	1.05388
20.4	-1.45766
20.5	0.750655
20.6	0.528379
20.7	-1.40477
20.8	1.21067
20.9	-0.0940016
21	-1.0943
21.1	1.44871
21.2	-0.699147
21.3	-0.583192
21.4	1.42112
21.5	-1.1761
21.6	0.0348514
21.7	1.13296
21.8	-1.43741
21.9	0.646505
22	0.637059
22.1	-1.43516
22.2	1.13962
22.3	0.0243553
22.4	-1.16977
22.5	1.42378
22.6	-0.592814
22.7	-0.689894
22.8	1.44688
22.9	-1.10129
23	-0.0835226
23.1	1.20469
23.2	-1.40784
23.3	0.538163
23.4	0.741609
23.5	-1.45625
23.6	1.06117
23.7	0.142554
23.8	-1.23765
23.9	1.38961
24	-0.482639
24.1	-0.792123
24.2	1.46326
24.3	-1.01934
24.4	-0.201355
24.5	1.26861
24.6	-1.36914
24.7	0.426332
24.8	0.841352
24.9	-1.46789
25	0.975849
25.1	0.259829
25.2	-1.29751
25.3	1.34644
25.4	-0.369334
25.5	-0.889216
25.6	1.47015
25.7	-0.930778
25.8	-0.317882
25.9	1.3243
26	-1.32156
26.1	0.311737
26.2	0.935639
26.3	-1.47002
26.4	0.884198
26.5	0.37542
26.6	-1.34895
26.7	1.29454
26.8	-0.253635
26.9	-0.980546
27	1.46751
27.1	-0.836185
27.2	-0.432349
27.3	1.37142
27.4	-1.26542
27.5	0.195122
27.6	1.02386
27.7	-1.46263
27.8	0.786815
27.9	0.488576
28	-1.39166
28.1	1.23424
28.2	-0.136292
28.3	-1.06552
28.4	1.45536
28.5	-0.73617
28.6	-0.544012
